gtdb_genome_representative	aquatic_habitat	host_associated	soil_habitat
RS_GCF_003326675.1	1	0	0
RS_GCF_003326795.1	1	0	0
RS_GCF_000968135.1			
GB_GCA_012960465.1			
GB_GCA_002168115.1	1	0	0
GB_GCA_018649725.1	1	0	0
GB_GCA_018674495.1	1	0	0
GB_GCA_002937995.1	1	0	0
RS_GCF_004341725.1			
GB_GCA_015231605.1	0	0	1
RS_GCF_001746755.1			
GB_GCA_018660465.1	1	0	0
GB_GCA_001830425.1			
GB_GCA_014382375.1			
GB_GCA_018700835.1	1	0	0
GB_GCA_013204045.1	1	0	0
GB_GCA_018671895.1	1	0	0
GB_GCA_018662225.1	1	0	0
GB_GCA_002781745.1	1	0	0
GB_GCA_002325375.1	1	0	0
GB_GCA_002706405.1	1	0	0
GB_GCA_905478885.1	1	0	0
GB_GCA_017640505.1	1	0	0
GB_GCA_017644185.1	1	0	0
GB_GCA_002389175.1	1	0	0
GB_GCA_017857825.1	1	0	0
GB_GCA_002167875.1	1	0	0
GB_GCA_002378125.1	1	0	0
GB_GCA_018665815.1	1	0	0
GB_GCA_002328385.1	1	0	0
GB_GCA_014382345.1			
GB_GCA_002938315.1	1	0	0
GB_GCA_018432935.1	1	0	1
GB_GCA_018648445.1	1	0	0
GB_GCA_014859895.1	0	0	1
GB_GCA_016872535.1	1	0	0
GB_GCA_016710335.1	0	0	1
GB_GCA_007694935.1	1	0	0
GB_GCA_007695045.1	1	0	0
GB_GCA_016793925.1	0	0	1
RS_GCF_014672695.1			
GB_GCA_013414705.1	0	0	1
GB_GCA_016712595.1	0	0	1
GB_GCA_016712375.1	0	0	1
GB_GCA_016793875.1	0	0	1
GB_GCA_003354135.1	0	1	1
GB_GCA_902826885.1	1	0	0
GB_GCA_016202695.1	1	0	0
GB_GCA_003576685.1			
GB_GCA_009885795.1	0	0	1
GB_GCA_902826565.1	1	0	0
RS_GCF_008728835.1	0	0	1
RS_GCF_008728855.1	0	1	0
RS_GCF_001618175.1	1	0	1
GB_GCA_018814845.1			
RS_GCF_000299935.1	1	0	0
RS_GCF_002148795.1	1	0	0
GB_GCA_016869645.1	1	0	0
GB_GCA_016178915.1	1	0	0
GB_GCA_016869375.1	1	0	0
GB_GCA_016869285.1	1	0	0
RS_GCF_014643535.1			
GB_GCA_903923205.1	1	0	0
GB_GCA_019238055.1			
GB_GCA_019240125.1	0	0	1
GB_GCA_903827805.1	1	0	0
GB_GCA_903822185.1	1	0	0
GB_GCA_006738865.1	1	0	0
GB_GCA_006739055.1			
RS_GCF_003751345.1	0	0	1
GB_GCA_004292755.1			
RS_GCF_002251735.1			
GB_GCA_013298565.1	1	0	0
GB_GCA_016870115.1	1	0	0
GB_GCA_004296935.1	1	0	0
GB_GCA_017308295.1	0	1	1
GB_GCA_004297405.1	1	0	0
GB_GCA_017307275.1	0	0	1
RS_GCF_000312425.1			
GB_GCA_002281325.1	1	0	0
GB_GCA_004297265.1	1	0	0
GB_GCA_009772935.1	1	0	0
GB_GCA_001557035.1	0	0	1
RS_GCF_019039055.1			
GB_GCA_013205335.1	1	0	0
GB_GCA_019236825.1	0	0	1
GB_GCA_016870055.1	1	0	0
GB_GCA_009377525.1			
GB_GCA_900110395.1			
RS_GCF_007992495.1			
GB_GCA_018240665.1	0	0	1
GB_GCA_903832005.1	1	0	0
GB_GCA_903839865.1	1	0	0
GB_GCA_903915535.1	1	0	0
GB_GCA_018240685.1	0	0	1
RS_GCF_900167455.1			
GB_GCA_018242505.1	0	0	1
GB_GCA_017308235.1	0	0	1
GB_GCA_018240745.1	0	0	1
GB_GCA_017305915.1	0	0	1
GB_GCA_016869975.1	1	0	0
GB_GCA_016699855.1	0	0	1
GB_GCA_003574685.1			
RS_GCF_007859315.1	0	1	0
RS_GCF_008039615.1			
GB_GCA_016793165.1	0	0	1
GB_GCA_016869915.1	1	0	0
GB_GCA_903860935.1	1	0	0
GB_GCA_016869415.1	1	0	0
GB_GCA_014444615.1	1	0	0
GB_GCA_017308135.1	0	0	1
GB_GCA_016793045.1	0	0	1
GB_GCA_016201015.1	1	0	0
GB_GCA_008012315.1	1	0	0
GB_GCA_003574735.1			
GB_GCA_016183985.1	1	0	0
GB_GCA_016712715.1	0	0	1
GB_GCA_016794165.1	0	0	1
RS_GCF_004363235.1			
GB_GCA_009909005.1			
RS_GCF_000423185.1	0	1	0
RS_GCF_000767795.1	0	1	1
GB_GCA_018332375.1	0	0	1
GB_GCA_003165335.1	0	0	1
GB_GCA_002168225.1	1	0	0
GB_GCA_019192455.1			
GB_GCA_013285465.1	1	0	0
GB_GCA_007693615.1	1	0	0
GB_GCA_016794125.1	0	0	1
GB_GCA_002423185.1	1	0	0
GB_GCA_009926935.1	1	0	0
GB_GCA_002423205.1	1	0	0
GB_GCA_016794285.1	0	0	1
GB_GCA_001767915.1			
GB_GCA_016794145.1	0	0	1
GB_GCA_016794305.1	0	0	1
GB_GCA_002421905.1	1	0	0
GB_GCA_002425415.1	0	0	1
GB_GCA_016432265.1	1	0	0
RS_GCF_000226315.1	1	0	0
RS_GCF_000348745.1			
GB_GCA_017302165.1	0	0	1
GB_GCA_002482805.1	1	0	0
GB_GCA_003241475.1			
GB_GCA_018608245.1	1	0	0
GB_GCA_013215815.1	1	0	0
GB_GCA_009992645.1			
GB_GCA_002789675.1	1	0	0
GB_GCA_012960155.1			
GB_GCA_007117665.1	1	0	0
GB_GCA_002359735.1	1	0	0
GB_GCA_002448815.1	1	0	0
GB_GCA_016764775.1			
GB_GCA_002448575.1	1	0	0
GB_GCA_016699735.1	0	0	1
GB_GCA_018000295.1	1	0	1
GB_GCA_900696495.1			
GB_GCA_017999645.1	1	0	0
GB_GCA_002483465.1	1	0	1
GB_GCA_002338525.1	1	0	0
GB_GCA_002328415.1	1	0	0
RS_GCF_014205765.1			
RS_GCF_000333275.1			
RS_GCF_007827955.1			
RS_GCF_000016185.1	1	0	0
RS_GCF_003568845.1	0	0	1
GB_GCA_001296005.1	1	0	0
RS_GCF_002868735.1			
GB_GCA_017996735.1	1	0	0
RS_GCF_002251795.1			
RS_GCF_000429645.1	0	1	1
RS_GCF_900188305.1			
RS_GCF_009495745.1			
RS_GCF_003336875.1	0	0	1
GB_GCA_001939945.1	0	0	1
RS_GCF_017355985.1			
RS_GCF_000936425.1			
RS_GCF_000576635.1			
RS_GCF_008843145.1	0	0	1
RS_GCF_016765655.1			
RS_GCF_016806835.1			
GB_GCA_903927615.1	1	0	0
GB_GCA_903883715.1	1	0	0
GB_GCA_903856295.1	1	0	0
GB_GCA_903907775.1	1	0	0
RS_GCF_013423485.1			
RS_GCF_017356015.1			
RS_GCF_017876165.1			
RS_GCF_017876155.1			
RS_GCF_008365375.1	0	1	0
RS_GCF_000404045.1	0	1	1
RS_GCF_008274965.1			
RS_GCF_003130795.1	1	0	0
RS_GCF_003116095.1	0	0	1
RS_GCF_017876115.1			
RS_GCF_000960825.1			
RS_GCF_003115975.1	0	0	1
RS_GCF_003116035.1	0	0	1
RS_GCF_003116065.1	0	0	1
RS_GCF_016595245.1			
RS_GCF_000010725.1	0	1	1
RS_GCF_003233655.1			
RS_GCF_000283655.1			
RS_GCF_003590795.1	1	0	0
RS_GCF_003966125.1	1	0	0
RS_GCF_003989665.1			
RS_GCF_003116015.1	0	0	1
RS_GCF_000429625.1	0	0	1
GB_GCA_016699305.1	0	0	1
GB_GCA_010031785.1	1	0	0
GB_GCA_903919315.1	1	0	0
GB_GCA_019233975.1	0	0	1
GB_GCA_903920205.1	1	0	0
GB_GCA_903875345.1	1	0	0
GB_GCA_016124955.1	1	0	0
GB_GCA_009927055.1	1	0	0
GB_GCA_009773045.1	1	0	0
GB_GCA_003246625.1	1	0	1
GB_GCA_900079695.1			
GB_GCA_012103295.1	1	1	0
GB_GCA_018666155.1	1	0	0
GB_GCA_004297485.1	1	0	0
GB_GCA_903888485.1	1	0	0
GB_GCA_016869315.1	1	0	0
GB_GCA_002737725.1	1	0	0
RS_GCF_014197915.1			
RS_GCF_014197795.1			
RS_GCF_900101965.1			
RS_GCF_009601025.1			
RS_GCF_008630015.1	1	0	1
RS_GCF_000013085.1			
RS_GCF_014861485.1			
RS_GCF_007992075.1			
RS_GCF_900100455.1			
RS_GCF_000315795.1	0	0	1
RS_GCF_900230255.1			
RS_GCF_900156605.1			
RS_GCF_012102655.1	0	1	0
RS_GCF_001611975.1	0	1	0
RS_GCF_012102705.1	0	1	0
RS_GCF_014205675.1			
RS_GCF_000381985.1	1	0	0
GB_GCA_016214125.1	1	0	0
GB_GCA_015229215.1	0	0	1
GB_GCA_015232335.1	0	0	1
GB_GCA_015231795.1	0	0	1
GB_GCA_902725215.1			
RS_GCF_006980715.1	1	0	0
GB_GCA_903858635.1	1	0	0
GB_GCA_009712185.1	1	0	0
RS_GCF_002845745.1	0	0	1
GB_GCA_015654615.1			
GB_GCA_016212565.1	1	0	0
RS_GCF_902729435.1			
RS_GCF_001650635.1	1	0	1
GB_GCA_903941095.1	1	0	0
GB_GCA_001898825.1			
GB_GCA_002435715.1	1	0	0
RS_GCF_018224925.1			
GB_GCA_006218045.1	1	0	0
RS_GCF_000513295.1	1	0	1
RS_GCF_011022235.1			
GB_GCA_903899885.1	1	0	0
GB_GCA_903924765.1	1	0	0
RS_GCF_000294655.1			
RS_GCF_900108475.1			
RS_GCF_000442515.1	1	0	1
GB_GCA_903901915.1	1	0	0
RS_GCF_900184795.1			
RS_GCF_000009985.1	1	0	0
RS_GCF_000829825.1	1	0	1
RS_GCF_002105535.1			
RS_GCF_001511835.1			
RS_GCF_000342045.1	1	0	1
RS_GCF_001650715.1	1	0	0
RS_GCF_003284725.1	1	0	1
GB_GCA_903853455.1	1	0	0
RS_GCF_902729425.1			
GB_GCA_903941105.1	1	0	0
GB_GCA_009839325.1	0	1	0
GB_GCA_002728255.1	1	0	0
GB_GCA_002937585.1	1	0	0
GB_GCA_902826265.1	1	0	0
GB_GCA_007694015.1	1	0	0
GB_GCA_002898275.1	0	0	1
GB_GCA_015488175.1	1	0	0
RS_GCF_900187945.1			
RS_GCF_000427665.1	1	0	0
RS_GCF_009806515.1			
RS_GCF_014636235.1			
RS_GCF_007644105.1	0	0	1
RS_GCF_019203965.1	1	0	0
RS_GCF_003336755.1			
RS_GCF_000378465.1	1	0	0
RS_GCF_006704265.1	1	0	0
RS_GCF_001889505.1			
RS_GCF_001889525.1			
GB_GCA_019240395.1	0	0	1
RS_GCF_008630155.1			
GB_GCA_903839965.1	1	0	0
GB_GCA_903918195.1	1	0	0
GB_GCA_903824635.1	1	0	0
GB_GCA_903865895.1	1	0	0
GB_GCA_903845065.1	1	0	0
GB_GCA_903842315.1	1	0	0
GB_GCA_903881515.1	1	0	0
GB_GCA_001899585.1	0	0	1
GB_GCA_903893975.1	1	0	0
GB_GCA_903873995.1	1	0	0
GB_GCA_903924855.1	1	0	0
GB_GCA_903823665.1	1	0	0
GB_GCA_903864895.1	1	0	0
GB_GCA_017307335.1	0	0	1
GB_GCA_017304945.1	0	0	1
GB_GCA_001898425.1	0	0	1
GB_GCA_903900905.1	1	0	0
GB_GCA_903918315.1	1	0	0
GB_GCA_903895595.1	1	0	0
GB_GCA_903924985.1	1	0	0
GB_GCA_903877125.1	1	0	0
GB_GCA_018240405.1	0	0	1
GB_GCA_003506895.1	0	0	1
GB_GCA_903932145.1	1	0	0
RS_GCF_009765975.1	0	0	1
RS_GCF_002937115.1			
GB_GCA_903851415.1	1	0	0
GB_GCA_903841135.1	1	0	0
GB_GCA_903944925.1	1	0	0
GB_GCA_003151425.1	0	0	1
GB_GCA_903847525.1	1	0	0
